time,open,high,low,close,vwap,volume,count
2025-12-12 15:11:00,137.22,137.62,137.22,137.62,137.45,2989.31253295,56
2025-12-12 15:12:00,137.57,137.66,137.56,137.56,137.59,790.23431272,13
2025-12-12 15:13:00,137.49,137.79,137.39,137.79,137.59,1532.33385391,37
2025-12-12 15:14:00,137.82,137.84,137.46,137.51,137.47,708.20678701,20
2025-12-12 15:15:00,137.51,137.51,137.26,137.26,137.33,422.56884868,27
2025-12-12 15:16:00,137.23,137.23,137.11,137.11,137.14,66.62158192,12
2025-12-12 15:17:00,137.05,137.2,137.0,137.19,137.05,490.49876432,13
2025-12-12 15:18:00,137.21,137.35,137.21,137.32,137.22,356.9390477,16
2025-12-12 15:19:00,137.26,137.52,137.26,137.45,137.44,113.37434496,14
2025-12-12 15:20:00,137.44,137.55,137.36,137.51,137.46,24.78426473,10
2025-12-12 15:21:00,137.46,137.46,137.22,137.22,137.44,51.10749764,14
2025-12-12 15:22:00,137.2,137.28,137.2,137.24,137.23,1.19654819,4
2025-12-12 15:23:00,137.35,137.37,137.12,137.12,137.31,196.60835528,15
2025-12-12 15:24:00,137.06,137.06,136.78,136.78,136.83,1147.27356307,34
2025-12-12 15:25:00,136.77,136.8,136.68,136.8,136.77,743.31307046,24
2025-12-12 15:26:00,136.78,136.78,135.93,135.93,136.14,3458.14146322,192
2025-12-12 15:27:00,136.15,136.25,135.94,135.97,135.98,568.29724381,40
2025-12-12 15:28:00,135.96,135.97,135.76,135.81,135.81,2072.46917254,55
2025-12-12 15:29:00,135.79,135.79,135.6,135.7,135.66,541.7078998,37
2025-12-12 15:30:00,135.7,135.91,135.35,135.43,135.47,465.69919039,80
2025-12-12 15:31:00,135.4,135.47,135.17,135.47,135.3,1488.11143611,53
2025-12-12 15:32:00,135.47,135.6,135.21,135.25,135.38,364.4371731,43
2025-12-12 15:33:00,135.35,135.69,135.35,135.55,135.6,714.3164844,35
2025-12-12 15:34:00,135.55,135.55,135.0,135.08,135.0,6301.80529243,112
2025-12-12 15:35:00,135.1,135.1,134.46,134.46,134.58,6213.76852601,186
2025-12-12 15:36:00,134.66,134.98,134.58,134.98,134.75,572.24404452,43
2025-12-12 15:37:00,135.0,135.01,134.81,134.96,134.84,217.26319567,30
2025-12-12 15:38:00,134.95,135.32,134.93,135.0,135.1,1742.30319251,46
2025-12-12 15:39:00,134.99,135.01,134.84,135.01,134.88,706.95804838,25
2025-12-12 15:40:00,135.01,135.01,134.13,134.13,134.35,1801.68235054,92
2025-12-12 15:41:00,134.32,134.47,134.03,134.08,134.09,1909.20729368,82
2025-12-12 15:42:00,134.27,134.6,134.21,134.55,134.54,51.91750012,21
2025-12-12 15:43:00,134.59,134.59,134.39,134.47,134.51,111.23711756,21
2025-12-12 15:44:00,134.45,134.81,134.45,134.8,134.5,38.71938196,21
2025-12-12 15:45:00,134.79,134.8,134.59,134.68,134.72,181.84676467,32
2025-12-12 15:46:00,134.68,134.84,134.54,134.54,134.7,169.64393446,31
2025-12-12 15:47:00,134.58,135.13,134.58,135.13,134.9,19.71034216,26
2025-12-12 15:48:00,135.23,135.54,135.19,135.19,135.37,187.9366145,37
2025-12-12 15:49:00,135.13,135.25,135.08,135.22,135.19,36.56408321,28
2025-12-12 15:50:00,135.17,135.17,134.76,134.76,134.87,69.95204207,25
2025-12-12 15:51:00,134.79,134.86,134.61,134.64,134.72,181.47570869,30
2025-12-12 15:52:00,134.68,134.7,134.51,134.57,134.66,581.11263018,26
2025-12-12 15:53:00,134.51,134.51,134.28,134.33,134.35,234.37063349,36
2025-12-12 15:54:00,134.29,134.3,134.2,134.25,134.21,127.17109514,15
2025-12-12 15:55:00,134.21,134.22,134.13,134.16,134.2,236.91979942,24
2025-12-12 15:56:00,134.11,134.12,133.91,133.93,133.99,1022.78875138,57
2025-12-12 15:57:00,133.92,133.96,133.88,133.89,133.92,1049.46726189,36
2025-12-12 15:58:00,133.87,133.87,132.91,133.04,133.41,4430.72002825,159
2025-12-12 15:59:00,133.07,133.62,133.07,133.49,133.39,100.17147258,40
2025-12-12 16:00:00,133.49,133.7,133.15,133.51,133.46,2362.90248559,88
2025-12-12 16:01:00,133.5,133.87,133.5,133.82,133.64,1379.68892684,54
2025-12-12 16:02:00,133.75,133.93,133.63,133.64,133.67,635.8143733,43
