Ticker,Date,Open,High,Low,Close,Volume
QGMD,2021-12-29,3.1900,3.2220,3.1610,3.2100,1014194
QGMD,2021-12-30,3.1990,3.1990,3.1800,3.1800,2358156
QGMD,2022-01-02,3.1330,3.1780,3.1150,3.1150,1686470
QGMD,2022-01-03,3.1150,3.1420,3.0570,3.0650,695250
QGMD,2022-01-04,3.0650,3.0940,3.0030,3.0840,1085514
QGMD,2022-01-05,3.0490,3.1370,3.0260,3.1010,1742230
QGMD,2022-01-06,3.1480,3.2640,3.1050,3.2020,5783312
QGMD,2022-01-09,3.2230,3.2610,3.2000,3.2270,1447324
QGMD,2022-01-10,3.2070,3.2580,3.2060,3.2270,958980
QGMD,2022-01-11,3.2170,3.2520,3.2100,3.2260,800746
QGMD,2022-01-12,3.2260,3.2450,3.2060,3.2300,1304643
QGMD,2022-01-13,3.2120,3.2400,3.2100,3.2100,765256
QGMD,2022-01-16,3.2380,3.2380,3.2140,3.2330,1569670
QGMD,2022-01-17,3.2340,3.3550,3.2100,3.3490,2235981
QGMD,2022-01-18,3.3480,3.3650,3.2800,3.2990,1481219
QGMD,2022-01-19,3.2990,3.3080,3.2550,3.2550,1091082
QGMD,2022-01-20,3.2730,3.2730,3.2280,3.2290,684561
QGMD,2022-01-23,3.2250,3.2250,3.1700,3.1710,3146584
QGMD,2022-01-24,3.1570,3.1810,2.9710,3.0000,7515557
QGMD,2022-01-25,2.9490,2.9890,2.8360,2.8360,9861146
QGMD,2022-01-26,2.8800,2.9300,2.5530,2.6490,32691164
QGMD,2022-01-27,2.6510,2.8280,2.6490,2.8280,12364451
QGMD,2022-01-30,2.8490,2.8490,2.8000,2.8060,6135003
QGMD,2022-01-31,2.8290,2.8600,2.7130,2.7790,9938332
QGMD,2022-02-01,2.7790,2.8060,2.7300,2.7330,4241584
QGMD,2022-02-02,2.7690,2.7690,2.6850,2.7000,3542436
QGMD,2022-02-03,2.7540,2.7540,2.6500,2.6610,2026928
QGMD,2022-02-06,2.6620,2.7980,2.6310,2.7480,6057778
QGMD,2022-02-07,2.7770,2.7780,2.6850,2.7080,7834386
QGMD,2022-02-09,2.7000,2.7460,2.6730,2.6880,1987323
QGMD,2022-02-10,2.6880,2.7190,2.6750,2.7000,2017067
QGMD,2022-02-13,2.7000,2.7100,2.6490,2.6540,1084900
QGMD,2022-02-14,2.6600,2.7290,2.6140,2.6710,2530482
QGMD,2022-02-15,2.6750,2.6980,2.6500,2.6540,1247667
QGMD,2022-02-16,2.6540,2.7160,2.6500,2.6990,3616854
QGMD,2022-02-17,2.7180,2.7180,2.6700,2.6700,2135917
QGMD,2022-02-20,2.6600,2.6990,2.6210,2.6300,2229491
QGMD,2022-02-21,2.6200,2.6480,2.5550,2.6210,2499329
QGMD,2022-02-22,2.6010,2.6990,2.5920,2.6000,2866114
QGMD,2022-02-23,2.6410,2.6740,2.5830,2.6470,2406636
QGMD,2022-02-24,2.6060,2.6060,2.5030,2.5550,1567200
QGMD,2022-02-27,2.5140,2.6350,2.5140,2.5740,2335390
QGMD,2022-02-28,2.6230,2.6440,2.5750,2.6050,3854839
QGMD,2022-03-01,2.6280,2.6290,2.6000,2.6110,1627880
QGMD,2022-03-02,2.6350,2.6350,2.5900,2.6030,1725619
QGMD,2022-03-03,2.5750,2.5990,2.5440,2.5550,1497300
QGMD,2022-03-07,2.5550,2.6020,2.5100,2.5400,1350380
QGMD,2022-03-08,2.5500,2.5800,2.4660,2.4880,1570502
QGMD,2022-03-09,2.5100,2.6790,2.4010,2.6030,6888003
QGMD,2022-03-10,2.6190,2.6190,2.3430,2.5740,3640029
QGMD,2022-03-13,2.5740,2.5840,2.5250,2.5550,1693309
QGMD,2022-03-14,2.5700,2.5700,2.5040,2.5470,1034374
QGMD,2022-03-15,2.5110,2.5600,2.4800,2.5080,325080
QGMD,2022-03-16,2.5590,2.5590,2.4530,2.5270,2458001
QGMD,2022-03-17,2.5400,2.5400,2.4330,2.4600,1956505
QGMD,2022-03-20,2.4650,2.4650,2.3900,2.4060,3646747
QGMD,2022-03-21,2.4290,2.4520,2.3800,2.4130,2180685
